terminals,population_size,max_depth,experssion,eval,num_of_gen,num_of_runs
"['x', 1, 2, 3]",200,2,(((((x * 1) * (x - 1)) + (3 * ((3 / 1) - x))) + (3 - x)) + (3 - x)),1.4799170339051149,42,3
"['x', 1, 2, 3]",200,2,(((3 + 1) * (3 - x)) + ((x * x) - (x * 2))),5.913714161843382,30,4
"['x', 1, 2, 3, 4]",200,2,((4 * ((3 - x) - 1)) + ((x * (x - 1)) + ((4 - 1) * 2))),12.32783503361057,28,1
"['x', 1, 2, 3, 4]",200,2,((4 * (4 - x)) + (((x * x) - (x / 3)) - x)),11.380684314939428,29,2
"['x', 1, 2, 3, 4]",200,2,(((x - 2) * (x - 3)) + ((4 - x) + (4 * 1))),0.0008798868003556823,7,3
"['x', 1, 2, 3, 4]",200,2,(((1 + 3) + (((3 - x) * (1 - x)) + ((3 - x) + (3 * 1)))) + (2 - x)),1.4799170339051149,42,4
"['x', 1]",250,2,((1 - x) + (((((x / 1) * (x * 1)) - (x - 1)) + ((((x / 1) * (x * 1)) - (x - 1)) - (x * 1))) + (1 - (x + x)))),86.32272461392175,37,1
"['x', 1]",250,2,(((((1 - x) + (x * x)) - (x - 1)) - (x - 1)) + ((((1 - x) + (x * x)) - (x - 1)) - (x - 1))),82.41673355884386,37,2
"['x', 1]",250,2,((((1 - x) - (x - 1)) + (((x * x) + (1 - (x + x))) + ((x / x) / (x / x)))) + ((((1 - x) - (x - 1)) + (1 * 1)) + (((1 * 1) + (1 + 1)) - (1 * x)))),35.95899914645249,53,3
"['x', 1]",250,2,((((((((1 - x) / (1 / (1 * 1))) + (((1 - (x - 1)) * (1 - (x - 1))) + (((x * 1) + (1 - x)) + (((1 - x) + (1 * 1)) + 1)))) + 1) + 1) + 1) + 1) + 1),0.0008798868003556813,51,4
"['x', 1, 2]",250,2,((2 - x) + (((2 + 2) / (1 / 2)) + ((1 - (x + x)) + (((x * x) + (2 - (x * 1))) - (x * 2))))),1.4788122627797784,36,1
"['x', 1, 2]",250,2,(((2 - x) * 2) + ((((2 - x) * 2) + (2 + 2)) + ((1 - x) + ((x * x) - x)))),1.4788122627797784,29,2
"['x', 1, 2]",250,2,(((((2 - x) * ((x + 2) - (x + x))) + (2 - x)) + ((1 + 2) + (1 * 2))) + (((2 * 2) - 1) - (x - 1))),1.4799170339051149,38,3
"['x', 1, 2]",250,2,(((2 + ((2 * 1) * (2 - x))) * 2) + ((((x / 1) - (1 * 2)) / (1 / x)) + 2)),0.0009094177126551441,11,4
"['x', 1, 2, 3]",250,2,(((x * x) - (x + (x - 3))) + ((3 - 1) * ((3 + 2) - (2 * x)))),1.4788122627797784,33,1
"['x', 1, 2, 3]",250,2,((3 + 2) + ((3 - x) * (3 - x))),0.0008798868003556799,8,2
"['x', 1, 2, 3]",250,2,((3 * (2 - (x - 1))) + ((2 - x) * (2 - x))),13.801059278242512,37,3
"['x', 1, 2, 3]",250,2,(((((3 * 3) - (x - 2)) - (3 * x)) + 3) + ((x - 2) * (x / 1))),0.0009094177126551454,11,4
"['x', 1, 2, 3, 4]",250,2,(((3 * 1) + (2 - x)) + ((2 - x) * (3 - x))),13.305585583991165,33,1
"['x', 1, 2, 3, 4]",250,2,(4 + (((x * x) - (2 + (x * 3))) + (3 * (4 - x)))),0.0009094177126551437,18,2
"['x', 1, 2, 3, 4]",250,2,((((4 * 4) / 2) * (2 - x)) + ((2 + x) * x)),5.915923704094056,30,3
"['x', 1, 2, 3, 4]",250,2,((3 * 2) + ((3 - x) * (3 - x))),1.4799170339051149,28,4
"['x', 1]",300,2,(((((1 * 1) - (x / (1 * 1))) + (((x * 1) + (1 + 1)) - (x + x))) - ((x / 1) - (1 + 1))) + (((1 + (1 - x)) * (1 - x)) + (1 - x))),65.49538584248698,50,1
"['x', 1]",300,2,((((1 - x) * (1 + 1)) + (1 / 1)) + ((((1 - x) * (1 + 1)) + (1 / 1)) + ((((1 - x) * (1 + 1)) + (1 / 1)) + ((((x + (x - x)) + (x * x)) + (((x - 1) * x) + (1 * 1))) + (((1 - x) * (x + 1)) + (1 / 1)))))),5.913714161843382,51,2
"['x', 1]",300,2,(((((1 / 1) + (1 + 1)) * (1 - x)) + (1 * 1)) + (((1 / 1) - x) + ((((1 / 1) + (1 + 1)) * (1 - x)) + (x * x)))),65.49538584248698,40,3
"['x', 1]",300,2,(((((x / x) + 1) + ((x * x) - x)) + ((((1 - x) - (x + x)) + ((1 * 1) + (x * x))) + (1 / 1))) - (x + x)),82.91709888356276,33,4
"['x', 1, 2]",300,2,(((((x - 1) - ((x + x) - 1)) + ((1 + 1) + 2)) + ((2 - x) * (1 - x))) + (((2 * 2) - ((1 + x) - 1)) * 2)),0.0009094177126551453,16,1
"['x', 1, 2]",300,2,(((2 + ((x - (1 * 2)) * x)) + (2 * 2)) + ((2 * 2) * (2 - x))),0.0009325037424018928,14,2
"['x', 1, 2]",300,2,((((2 + 2) - (x - 2)) - (2 * x)) + (((x - 1) * (x - 1)) + (((1 / 2) - ((1 + x) - 1)) + ((2 + 2) * 2)))),3.3282991786140625,50,3
"['x', 1, 2]",300,2,(((2 - x) + (x * x)) + ((((2 + 2) - (1 / 1)) + (1 + 1)) * ((1 + 2) - x))),13.308899897367176,32,4
"['x', 1, 2, 3]",300,2,((((x * x) - (x - 3)) - (x + x)) + (3 * (3 - x))),5.913714161843382,35,1
"['x', 1, 2, 3]",300,2,(((3 + x) * 2) + (((2 + 3) + (2 - x)) * (1 - x))),1.4788122627797782,32,2
"['x', 1, 2, 3]",300,2,(((x * x) + ((2 - x) * ((2 * 2) + 2))) + 2),0.0008798868003556782,14,3
"['x', 1, 2, 3]",300,2,(((x * x) + (2 / 1)) + ((2 - x) * (2 + (1 + 3)))),0.0009094177126551437,8,4
"['x', 1, 2, 3, 4]",300,2,(((4 - x) * (4 - 1)) + ((x * (x - 2)) - (x - 3))),1.4799170339051149,35,1
"['x', 1, 2, 3, 4]",300,2,((((3 * x) * (2 / x)) * (2 - x)) + (x * x)),6.175001451205574,29,2
"['x', 1, 2, 3, 4]",300,2,((4 - x) + (((4 / 1) + ((2 - (4 * x)) + 4)) + ((x * x) + ((x + ((2 - 2) - x)) * 4)))),12.32783503361057,31,3
"['x', 1, 2, 3, 4]",300,2,(((2 - x) * (4 - x)) + (4 + 2)),0.000879886800355678,4,4
"['x', 1]",50,3,((((1 * (x - 1)) * (x * 1)) - x) + (((1 * (x - 1)) * (x * 1)) + (((1 + 1) + (1 * 1)) * (1 - x)))),98.25527224621773,32,1
"['x', 1]",50,3,((((1 - x) + 1) * (1 - x)) + (((((1 - x) + 1) * (1 - x)) + 1) + 1)),85.1828181617164,31,2
"['x', 1]",50,3,((x + x) * ((x - (1 + ((1 - x) + x))) - 1)),137.36947527634175,30,3
"['x', 1]",50,3,(((((x + x) / (1 / x)) - (x + x)) - (x + x)) - (x + x)),129.6183410010877,34,4
"['x', 1, 2]",50,3,(((((((1 - x) * 2) * (((1 - x) - x) + x)) + (2 / 1)) + (2 / 1)) - x) - x),87.34522719183268,44,1
"['x', 1, 2]",50,3,(((((2 * 2) * (1 + 2)) - 2) + (x * x)) + ((2 + (((1 + 2) + ((x - (x * 2)) - (x + x))) - (x * 2))) - (1 * x))),1.4799170339051149,37,2
"['x', 1, 2]",50,3,((x * x) + (2 + ((2 + ((1 + 2) + 1)) * (2 - x)))),0.0009513474621399093,5,3
"['x', 1, 2]",50,3,((1 + 1) * (((x * x) - (x - 2)) - x)),135.3205550151638,32,4
"['x', 1, 2, 3]",50,3,((((1 * (x * (x - 2))) + ((3 + 3) * 3)) - (x * 3)) - (x + (((2 - 3) / (3 / 1)) + (3 + 2)))),0.6576159682217287,26,1
"['x', 1, 2, 3]",50,3,(((1 * 1) * (3 - x)) * (1 * (3 - x))),36.96023699753929,30,2
"['x', 1, 2, 3]",50,3,((2 - x) * ((1 - x) + ((1 + 1) + 3))),55.19743472265872,31,3
"['x', 1, 2, 3]",50,3,((1 + 1) + ((2 * ((2 - x) * 3)) + (x * x))),0.0009325037424018909,11,4
"['x', 1, 2, 3, 4]",50,3,((((4 * (2 / 4)) - x) * ((4 - x) / 1)) - (1 - 4)),13.305585583991169,32,1
"['x', 1, 2, 3, 4]",50,3,(((x + 4) - (3 + (2 * (4 / 2)))) * (x - 4)),18.22598554492304,25,2
"['x', 1, 2, 3, 4]",50,3,((((((x * x) - (2 * x)) + ((x / (1 - 2)) - (x - 1))) + (2 + 2)) + 4) + ((((x * x) - (x * x)) + ((x / (1 - 2)) - (x - 1))) + (2 + 2))),0.0009513474621399081,15,3
"['x', 1, 2, 3, 4]",50,3,(((((((2 - x) - (x - 4)) / (x - 3)) + (3 * 3)) - (3 * x)) + (((3 * 3) - 1) + (x * x))) - (3 * x)),1.4969491783580797,40,4
"['x', 1]",100,3,(((((1 - x) + 1) + (1 - x)) * (1 - x)) + ((1 / 1) * 1)),98.49205091721478,33,1
"['x', 1]",100,3,((((1 + 1) + ((((x / 1) - (1 + 1)) * (1 * x)) + ((1 / (1 / 1)) + ((x + 1) - (1 * x))))) - 1) + ((((1 + 1) + ((((1 / 1) - (1 + 1)) * (1 * x)) + ((1 / (1 / 1)) + ((1 + 1) - (1 * x))))) - x) + (((1 + 1) + ((((x / 1) - (1 + 1)) * (1 * 1)) + ((1 / (1 / 1)) + ((1 + 1) - (1 * x))))) - x))),13.75214993842294,49,2
"['x', 1]",100,3,(((((1 - x) * (1 - x)) - (x - 1)) + (1 + 1)) + (((1 / 1) + (1 - x)) * (1 - x))),82.41673355884387,36,3
"['x', 1]",100,3,(((((((x - 1) * x) - (x * 1)) * (1 * 1)) + (((1 - x) + (x - x)) - (x - x))) + (1 - x)) + (((((x - 1) * x) - (x * 1)) * (1 * 1)) + (((1 - x) + (x - x)) - (x - x)))),105.19105028506694,41,4
"['x', 1, 2]",100,3,((((x / 2) - 2) * (x - (2 + (2 + 1)))) - (x - 2)),79.98730702318127,32,1
"['x', 1, 2]",100,3,(((2 + 2) + (2 - x)) + (((2 - (x / 1)) * (1 + 1)) + (((1 - ((2 - x) * x)) + (1 - x)) + 1))),1.4788122627797782,30,2
"['x', 1, 2]",100,3,((x + ((((((1 - x) + ((((2 - 2) - (2 * x)) + 1) * (2 + 2))) + ((x * x) + (2 * 1))) + (1 + x)) + (2 * 1)) + x)) + (((2 - x) + x) + 2)),0.0009672018468199124,17,3
"['x', 1, 2]",100,3,(((2 * (2 - x)) + (((2 * (2 - x)) + 2) + ((((x * x) - x) - (x / 1)) - (2 + 1)))) + ((2 + (2 - x)) + (2 + (x + 1)))),0.0009513474621399095,11,4
"['x', 1, 2, 3]",100,3,(((1 + 3) - x) * ((1 + 3) - x)),55.27944932397401,28,1
"['x', 1, 2, 3]",100,3,((2 / 1) + ((2 * ((3 - x) * 2)) + (x * (1 * (x - 2))))),0.000932503742401894,14,2
"['x', 1, 2, 3]",100,3,(((3 + (((x - 3) * x) - 1)) + ((2 - (x - 1)) * (2 * (1 * 1)))) + ((2 - (x - 1)) * (2 * (1 * 1)))),12.33310253464617,41,3
"['x', 1, 2, 3]",100,3,(((x * (x - 2)) + (1 * 1)) + ((((3 + ((3 * 2) - (x - 2))) + 3) + (1 - 2)) - (x * 3))),0.0008798868003556798,8,4
"['x', 1, 2, 3, 4]",100,3,(((2 - x) * (3 + 4)) + (4 - (((2 - x) - 3) - 3))),82.40249226015028,34,1
"['x', 1, 2, 3, 4]",100,3,((((2 * 4) + ((2 - x) * (2 - x))) + (2 - x)) + (2 - x)),5.915923704094055,35,2
"['x', 1, 2, 3, 4]",100,3,((4 - x) * (3 - x)),18.22598554492304,38,3
"['x', 1, 2, 3, 4]",100,3,(((((2 - 1) / 1) * 3) + ((4 * 4) - (x + 4))) + (((1 + x) - (4 + 2)) * x)),1.4799170339051149,36,4
"['x', 1]",150,3,(((1 - x) + (((1 - x) - (1 / x)) + (x * x))) + (((((1 / x) + 1) - (x + x)) + (x * x)) - (x + x))),92.71117442608697,37,1
"['x', 1]",150,3,(((x + ((1 + 1) - (x * 1))) + ((((1 + (x - (x + x))) + (x / x)) - (1 * x)) * (x + ((1 + 1) - (x * 1))))) + (((x - 1) * (x + x)) * (x / x))),85.23345103456793,37,2
"['x', 1]",150,3,(((((1 - x) * 1) + ((((x - 1) * 1) * (x - 1)) + (1 * 1))) + ((1 * (1 - x)) + ((x - x) * x))) + ((((1 - x) * 1) + ((((x - 1) * 1) * (x - 1)) + (1 * 1))) + ((1 * (1 - x)) + ((1 - x) * x)))),69.41198843247405,52,3
"['x', 1]",150,3,((((x + (x * 1)) - ((1 + 1) + 1)) * (x - 1)) - x),92.71117442608697,35,4
"['x', 1, 2]",150,3,((((2 + 1) * (2 - x)) * 2) + ((x * (x / 1)) - (1 * 1))),13.305585583991165,45,1
"['x', 1, 2]",150,3,((((2 * (2 * 2)) + (((1 * 2) + (1 * 2)) + (x * (x - (2 + 1))))) - x) + (2 - (x * (1 + 1)))),0.0009094177126551435,18,2
"['x', 1, 2]",150,3,(((((x - 1) * (2 * x)) + 1) - ((x - ((2 - 1) * 1)) + (x - 1))) - ((x - ((2 - 1) * 1)) + (x - 1))),82.89124432484073,34,3
"['x', 1, 2]",150,3,(((x * x) + (2 + 2)) - (((1 + 2) * (x - 2)) + (1 * x))),73.04731967656421,33,4
"['x', 1, 2, 3]",150,3,((1 + ((((2 - x) - (x / 3)) * (3 + 1)) + (x / 2))) + ((2 * 3) - (x - ((x * 3) * (x / 3))))),1.8203040505696357,36,1
"['x', 1, 2, 3]",150,3,((((1 + x) * x) - (x - 1)) + (3 * ((1 - (2 * x)) + ((1 / 2) + (1 * 3))))),0.3707772699672125,10,2
"['x', 1, 2, 3]",150,3,(((3 * 3) - (3 * x)) + (((1 * (x - 2)) * x) + ((((3 - 1) * x) + ((2 - x) * 3)) / 1))),1.568415587099357,38,3
"['x', 1, 2, 3]",150,3,(((((3 + 2) * 1) + (2 + ((1 * 1) - x))) + ((((2 + 3) + (x - x)) + 1) - (3 / (3 / x)))) + (x * ((x - 2) - 2))),0.0008798868003556783,14,4
"['x', 1, 2, 3, 4]",150,3,(((x * (x - 2)) - (x / 1)) + ((3 * ((3 * 3) - (x + 3))) - 3)),1.4799170339051149,33,1
"['x', 1, 2, 3, 4]",150,3,(4 - (((x - 1) - 1) * (4 - x))),5.913714161843382,25,2
"['x', 1, 2, 3, 4]",150,3,(((((4 * 4) - (x * 2)) + (3 * 2)) - (2 * x)) - (2 * x)),82.40249226015028,36,3
"['x', 1, 2, 3, 4]",150,3,(((2 - x) * (2 - x)) + (((2 - x) + (2 * (4 - x))) + (x * 1))),0.0009325037424018942,17,4
"['x', 1]",200,3,((((1 - ((1 - x) * (x - 1))) + (1 * 1)) + (1 - ((1 - x) * (x - 1)))) - (x + x)),82.89124432484073,38,1
"['x', 1]",200,3,((((((x * x) + 1) - x) + (((1 + (x / x)) - (x - 1)) + 1)) + (x * ((x / 1) - (1 + 1)))) - (x + x)),85.6999768336204,43,2
"['x', 1]",200,3,((((((1 - x) - (x - 1)) + x) - (x - 1)) + ((1 / 1) + ((x * x) - (x + x)))) + ((1 / 1) + ((x * x) - (x + x)))),82.89124432484073,36,3
"['x', 1]",200,3,((((((x * (x - 1)) + (1 - x)) - (x * 1)) - ((x + x) - (1 * 1))) + (x * x)) + (1 - x)),92.71117442608697,39,4
"['x', 1, 2]",200,3,((((x * x) + 2) - (x + x)) + (((2 - x) + ((2 * 1) + ((2 - (x - 2)) - 2))) * (2 * 1))),0.000879886800355678,8,1
"['x', 1, 2]",200,3,((((1 - ((2 + 2) * (x - 2))) + (1 - x)) + (2 + 2)) + (((1 * x) * x) - (x / 1))),0.0009672018468199114,12,2
"['x', 1, 2]",200,3,(((2 * 2) + ((2 + 1) + (((x - 2) - 1) * (x - 2)))) + ((1 * 2) - x)),1.4799170339051149,34,3
"['x', 1, 2]",200,3,(((2 * (1 - x)) + 2) + (((1 + ((x / 1) * (x - 2))) + (2 * (2 - x))) + ((1 + 2) + 1))),1.4788122627797784,32,4
"['x', 1, 2, 3]",200,3,(2 + ((x * x) + ((((1 * 2) + (3 - x)) - (1 + x)) * 3))),0.0009513474621399088,13,1
"['x', 1, 2, 3]",200,3,((((2 - 3) + (x * x)) + 3) + (((3 * 2) - (x * 3)) * 2)),0.0009513474621399069,8,2
"['x', 1, 2, 3]",200,3,((3 * (((3 - 1) - (x / 2)) * 3)) + (((x - 2) * x) - (3 / 3))),16.407577445532695,37,3
"['x', 1, 2, 3]",200,3,((2 * ((x / ((2 + 3) / (x / 1))) + (2 - x))) * 3),3.4547162164006453,32,4
"['x', 1, 2, 3, 4]",200,3,((4 * 4) + (((x - 4) - 3) * x)),18.268097616706026,26,1
"['x', 1, 2, 3, 4]",200,3,(((x - 3) * (x - 3)) + (2 + 3)),0.0008798868003556799,8,2
"['x', 1, 2, 3, 4]",200,3,(((1 * 3) - ((1 * x) - 4)) - (4 * (x - 4))),95.37266741998296,31,3
"['x', 1, 2, 3, 4]",200,3,(((x * x) + (3 * ((2 + 3) - x))) - (3 * x)),1.6001095979779767,30,4
"['x', 1]",250,3,(((1 * x) + ((1 * x) + ((1 - x) + (1 + 1)))) + ((((((1 * x) / (x + x)) - (((x * x) + (1 - 1)) + x)) + ((x * x) + (x / x))) + ((1 - x) + (1 + 1))) + ((((((1 * x) / (x + x)) - (((x * x) + (1 - 1)) + x)) + ((x * x) + (x / x))) + ((1 - 1) + (1 + 1))) + (((1 - x) + (((x * (x * 1)) - (x - 1)) + 1)) - ((1 * x) * (1 + 1)))))),0.013153675896773503,51,1
"['x', 1]",250,3,((((((1 * (1 + x)) * (1 + x)) - (x - 1)) - x) - x) + (((1 - x) - ((x - 1) + (x * 1))) + (((x * x) - x) - x))),86.32272461392175,39,2
"['x', 1]",250,3,((((1 - x) + (1 * 1)) * (1 - (1 * x))) + (((1 - x) + (1 * 1)) * (1 - (1 * x)))),86.32272461392175,39,3
"['x', 1]",250,3,(((1 - (x + x)) + 1) + (((((1 * x) + (1 + 1)) + 1) + ((((x * x) - (x + x)) + (x / x)) - (x + x))) + ((1 - (x + x)) + 1))),65.51307916532531,37,4
"['x', 1, 2]",250,3,(((x * 1) * (x - 2)) + (((((2 * 2) - x) * (2 + 1)) / 1) + (2 - x))),0.000932503742401893,6,1
