Generation,Best_Fitness,Terminals,Population_Size,Max_Depth
10,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
11,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
12,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
13,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
14,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
15,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
16,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
17,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
18,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
19,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
20,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
21,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
22,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
23,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
24,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
25,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
1,202.61805053470331,"['x', 'x1', 'x2', 'x3']",100,2
2,202.61805053470331,"['x', 'x1', 'x2', 'x3']",100,2
3,196.2983324493101,"['x', 'x1', 'x2', 'x3']",100,2
4,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
5,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
6,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
7,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
8,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
9,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
10,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
11,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
12,189.30524046438973,"['x', 'x1', 'x2', 'x3']",100,2
