terminals,population_size,max_depth,experssion,eval,num_of_gen,num_of_runs
"['x', 'x1', 'x2', 'x3']",150,4,(((x2-188.0)/9999357.0) / (3.66673636091414 / ((7.971187349605776 * ((((2.7164627185157766 / ((x3-0.0)/10.0)) / ((x3-0.0)/10.0)) + ((((x1-98.0)/9999531.0) - (((4.218162278876898 * ((x1-98.0)/9999531.0)) * ((x1-98.0)/9999531.0)) / (7.971187349605776 * (((((((x3-0.0)/10.0) * ((x1-98.0)/9999531.0)) / 1.3253650426826835) / ((x3-0.0)/10.0)) + 0.1742479318066248) * (((x3-0.0)/10.0) + (((x1-98.0)/9999531.0) + 7.548004431344232)))))) - ((x1-98.0)/9999531.0))) * (((x1-98.0)/9999531.0) + ((x1-98.0)/9999531.0)))) / 0.1742479318066248))),4.398192746414823,50,2
"['x', 'x1', 'x2', 'x3']",200,4,0.15245659924633226,204.05603827444995,32,1
"['x', 'x1', 'x2', 'x3']",200,4,(((x1-98.0)/9999531.0) * ((((x2-188.0)/9999357.0) / (1.2437503873555344 / (8.360252736597504 / ((x3-0.0)/10.0)))) * (9.896456109704584 / ((x3-0.0)/10.0)))),1.2220262914736135,50,2
"['x', 'x1', 'x2', 'x3']",250,4,(((x2-188.0)/9999357.0) / (((((x3-0.0)/10.0) / 1.404527296857907) / (((((x1-98.0)/9999531.0) + 9.08963417310848) - ((x1-98.0)/9999531.0)) + 0.3188061299742806)) / (((x1-98.0)/9999531.0) * (5.050624527266794 / ((x3-0.0)/10.0))))),0.8176946739336809,80,1
"['x', 'x1', 'x2', 'x3']",250,4,((((x2-188.0)/9999357.0) / (((((x3-0.0)/10.0) / 7.6467402293814) * ((x3-0.0)/10.0)) / ((x1-98.0)/9999531.0))) * (4.137106013232383 + 4.577477025709761)),0.8785416715965518,50,2
"['x', 'x1', 'x2', 'x3']",300,4,(((((x2-188.0)/9999357.0) * (8.224866267158749 / ((x3-0.0)/10.0))) * ((x1-98.0)/9999531.0)) * (8.224866267158749 / ((x3-0.0)/10.0))),3.684341870334323,50,1
"['x', 'x1', 'x2', 'x3']",300,4,(((x1-98.0)/9999531.0) * (((9.140311514527852 / ((x3-0.0)/10.0)) * (7.331974125070966 / ((x3-0.0)/10.0))) * ((x2-188.0)/9999357.0))),1.4232159970952325,50,2
"['x', 'x1', 'x2', 'x3']",50,5,((((((7.726312396001719 * ((x2-188.0)/9999357.0)) + ((x2-188.0)/9999357.0)) * ((x1-98.0)/9999531.0)) * 7.726312396001719) / ((x3-0.0)/10.0)) / ((x3-0.0)/10.0)),2.935723018181647,50,1
"['x', 'x1', 'x2', 'x3']",50,5,(0.3957291139924446 / 2.7621101332632714),215.77810743048727,37,2
"['x', 'x1', 'x2', 'x3']",100,5,(0.38871502300801386 * (9.768137247663695 * (6.682684762476856 * ((3.872819078458678 * ((x1-98.0)/9999531.0)) * ((x2-188.0)/9999357.0))))),151.40962365582345,50,1
"['x', 'x1', 'x2', 'x3']",100,5,0.13062287577959908,204.43580654261442,24,2
"['x', 'x1', 'x2', 'x3']",150,5,(8.22246237805588 * (((x2-188.0)/9999357.0) * (((((((x3-0.0)/10.0) + (((x1-98.0)/9999531.0) - ((((((x2-188.0)/9999357.0) + 3.149137175839055) + ((x1-98.0)/9999531.0)) / 8.796811499014884) * 8.102381019092459))) + (((((x3-0.0)/10.0) + (5.851579348184686 / ((x3-0.0)/10.0))) + ((2.1169748097235654 / ((x3-0.0)/10.0)) + (((x1-98.0)/9999531.0) / ((x1-98.0)/9999531.0)))) / ((x3-0.0)/10.0))) / ((x3-0.0)/10.0)) + ((x2-188.0)/9999357.0)) * (((x1-98.0)/9999531.0) * ((x3-0.0)/10.0))))),2.2756769460257784,50,1
"['x', 'x1', 'x2', 'x3']",150,5,(((x2-188.0)/9999357.0) / (((((x3-0.0)/10.0) + ((x3-0.0)/10.0)) / ((((0.6208547067138148 + ((((x3-0.0)/10.0) + ((x3-0.0)/10.0)) * 0.09443384049051651)) + (5.053207312980738 + (4.158095068587615 - 3.770814621564332))) + (7.773933387227218 + 3.5718415712430107)) / ((x3-0.0)/10.0))) / (((x1-98.0)/9999531.0) * 7.624096071803454))),1.283331427913829,50,2
"['x', 'x1', 'x2', 'x3']",200,5,(((x2-188.0)/9999357.0) / ((((x3-0.0)/10.0) / (7.325551024679429 * (((x1-98.0)/9999531.0) + (((x1-98.0)/9999531.0) / (4.299989043565296 + (((x2-188.0)/9999357.0) / ((((x3-0.0)/10.0) / ((x1-98.0)/9999531.0)) * ((4.775462710686859 + (((x2-188.0)/9999357.0) * (2.6096304616009802 + 2.7666328424958655))) / ((((x3-0.0)/10.0) / 7.325551024679429) - ((x3-0.0)/10.0)))))))))) * (((x3-0.0)/10.0) / 7.325551024679429))),2.7915528102686658,50,1
"['x', 'x1', 'x2', 'x3']",200,5,((((8.815069138530106 * 8.455027097912994) - (8.170055074743654 - 0.23835934141873016)) / ((x3-0.0)/10.0)) * (((x1-98.0)/9999531.0) / (((x3-0.0)/10.0) / ((x2-188.0)/9999357.0)))),1.0056385201745779,50,2
"['x', 'x1', 'x2', 'x3']",250,5,((((((x2-188.0)/9999357.0) / (((x3-0.0)/10.0) / 3.057826343027715)) * (((((((x2-188.0)/9999357.0) * ((((x2-188.0)/9999357.0) * (((x1-98.0)/9999531.0) / (((((((x3-0.0)/10.0) * ((x3-0.0)/10.0)) + 8.740889872896393) + (((x3-0.0)/10.0) / ((x2-188.0)/9999357.0))) + ((x2-188.0)/9999357.0)) - (((x3-0.0)/10.0) / 4.386920265044136)))) / (((x1-98.0)/9999531.0) * ((9.884248789313512 - ((x3-0.0)/10.0)) + ((x1-98.0)/9999531.0))))) + 3.057826343027715) / (((x3-0.0)/10.0) * 7.126431984584181)) * ((x3-0.0)/10.0)) + 3.057826343027715)) * (((x1-98.0)/9999531.0) * 6.28883477569786)) / ((x3-0.0)/10.0)),2.1516077613353675,50,1
"['x', 'x1', 'x2', 'x3']",250,5,((((9.877806828458223 * (((x1-98.0)/9999531.0) / ((x3-0.0)/10.0))) * 7.608364941433186) + ((((((x2-188.0)/9999357.0) - (8.930035420612517 / ((x3-0.0)/10.0))) - ((x1-98.0)/9999531.0)) + ((x2-188.0)/9999357.0)) * ((x1-98.0)/9999531.0))) * (((x2-188.0)/9999357.0) / ((x3-0.0)/10.0))),2.139559441291902,50,2
"['x', 'x1', 'x2', 'x3']",300,5,(((((x1-98.0)/9999531.0) / ((x3-0.0)/10.0)) * ((x2-188.0)/9999357.0)) * ((7.515309210055886 / ((x3-0.0)/10.0)) * 9.001154084306767)),3.6770581851105906,50,1
"['x', 'x1', 'x2', 'x3']",300,5,(((((((((((x1-98.0)/9999531.0) * ((x2-188.0)/9999357.0)) * (((((x3-0.0)/10.0) + ((x2-188.0)/9999357.0)) * ((x1-98.0)/9999531.0)) * (((x3-0.0)/10.0) * (((x2-188.0)/9999357.0) / ((x3-0.0)/10.0))))) + 4.560242042086885) / (((4.845844223108854 * 9.283150595330792) - ((x3-0.0)/10.0)) / ((x1-98.0)/9999531.0))) + 4.344084773968888) - 0.2118561441826572) * ((x1-98.0)/9999531.0)) * ((x2-188.0)/9999357.0)) / (2.6712033934665302 / (((((4.845844223108854 * 9.283150595330792) - (1.4163470393441657 + ((x1-98.0)/9999531.0))) / ((x3-0.0)/10.0)) - ((x3-0.0)/10.0)) / ((x3-0.0)/10.0)))),2.6911734002198635,50,2
